"Преглед за природното движење на населението, по години"

"Година","Население на средината на годината во илјади","Живородени","Умрени вкупно","Умрени доенчиња","Природен прираст","Склучени бракови","Разведени бракови","Живородени на 1000 жители","Умрени на 1000 жители","Природен прираст на 1000 жители","Склучени бракови на 1000 жители","Умрени доенчиња на 1000 живородени"
"1931",954,35907,21270,6317,14637,9316,0,37.6,22.3,15.3,9.8,175.9
"1939",1068,35004,20327,0,14677,9128,0,32.8,19.0,13.8,8.5,0
"1947",1133,39690,15509,4631,24181,14788,983,35.0,13.7,21.3,13.1,116.7
"1948",1162,47352,16764,5527,30588,13781,1352,40.7,14.4,26.3,11.9,116.7
"1949",1190,47082,19165,6409,27917,12785,788,39.6,16.1,23.5,10.7,136.1
"1950",1229,49560,18023,6773,31537,14123,983,40.3,14.7,25.6,11.5,136.1
"1951",1262,45329,20747,7313,24582,13651,951,35.9,16.4,19.5,10.8,161.3
"1952",1280,51054,17978,6628,33076,12758,832,39.9,14.0,25.9,10.0,129.8
"1953",1310,49665,19312,6854,30353,11739,990,37.9,14.8,23.1,9.0,138.0
"1954",1338,50984,16722,6648,34262,12096,772,38.1,12.5,25.6,9.0,130.4
"1955",1355,49093,17919,7083,31174,12003,983,36.2,13.2,23.0,8.9,144.3
"1956",1357,47486,15386,5297,32100,11751,956,35.0,11.3,23.7,8.7,111.5
"1957",1364,46107,17341,6269,28766,11432,1079,33.8,12.7,21.1,8.4,136.0
"1958",1366,44619,13917,5112,30702,12238,970,32.7,10.2,22.5,9.0,114.6
"1959",1377,44638,14998,5530,29640,11846,1013,32.4,10.9,21.5,8.6,123.9
"1960",1392,44059,14007,5048,30052,11941,1013,31.7,10.1,21.6,8.6,114.6
"1961",1410,42182,13141,4728,29041,11881,796,29.9,9.3,20.6,8.4,112.1
"1962",1431,40615,16155,5588,24460,11941,907,28.4,11.3,17.1,8.3,137.6
"1963",1454,41284,13229,4484,28055,11827,685,28.4,9.1,19.3,8.1,108.6
"1964",1478,42897,13286,4998,29611,13472,610,29.0,9.0,20.0,9.1,116.5
"1965",1505,42433,12758,4491,29675,13467,754,28.2,8.5,19.7,8.9,105.8
"1966",1527,41434,12307,4088,29127,12960,598,27.1,8.1,19.0,8.5,98.7
"1967",1551,40763,12523,3983,28240,13141,392,26.3,8.1,18.2,8.5,97.7
"1968",1574,40124,12461,3557,27663,13550,446,25.5,7.9,17.6,8.6,88.6
"1969",1597,40341,13111,3686,27230,14377,448,25.3,8.2,17.1,9.0,91.4
"1970",1630,37862,12430,3332,25432,14593,453,23.2,7.6,15.6,9.0,88.0
"1971",1653,37904,12447,3115,25457,14739,463,22.9,7.5,15.4,8.9,82.2
